# system_capacity,LCOT_wo_revenue
4.381264e-02,2.436505e+00
4.775577e-01,1.039820e+00
9.113028e-01,9.389262e-01
1.345048e+00,8.951171e-01
1.778793e+00,8.677159e-01
2.212538e+00,8.473383e-01
2.646283e+00,8.306291e-01
3.080028e+00,8.160840e-01
3.513773e+00,8.029257e-01
3.947519e+00,7.907111e-01
4.381264e+00,7.791685e-01
