# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-01,1.000000e+01,1.423579e+00,7.079576e+01,8.915290e+00,2.263507e+00,6.231122e+00,2.317343e+00,6.778615e+00,3.758951e+00,1.089568e+01,1.251170e+01,5.271504e+00,3.224964e+01,9.474096e+00,3.922718e+00,5.610532e+00,9.780867e-01,5.573845e+01
1.314378e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.190630e+00,5.000000e+01,1.062917e+00,1.813040e+02,4.158252e+01,2.263507e+00,3.786778e+00,2.313246e+00,7.216612e+00,4.711557e+00,8.685536e+00,1.573287e+01,5.198117e+00,4.286953e+01,4.279511e+00,3.795705e+00,1.196054e+00,2.144801e-01,6.963739e+01
3.066882e+00,7.000000e+01,1.012291e+00,2.198920e+02,5.762717e+01,2.263507e+00,3.634258e+00,2.369654e+00,7.437868e+00,4.922974e+00,6.705333e+00,1.610104e+01,5.318425e+00,4.498928e+01,3.674112e+00,3.843457e+00,8.489452e-01,1.546516e-01,7.238106e+01
3.943134e+00,9.000000e+01,9.717560e-01,2.477857e+02,7.348640e+01,2.263507e+00,3.587985e+00,2.434192e+00,7.667300e+00,5.114312e+00,4.522727e+00,1.634574e+01,5.459448e+00,4.685191e+01,3.319899e+00,3.915791e+00,6.587218e-01,1.219808e-01,7.478392e+01
