# system_capacity,LCOT_wo_revenue
4.775577e-01,1.015356e+00
9.113028e-01,9.294384e-01
1.345048e+00,8.917618e-01
1.778793e+00,8.676736e-01
2.212538e+00,8.493673e-01
2.646283e+00,8.340751e-01
3.080028e+00,8.205601e-01
3.513773e+00,8.081844e-01
3.947519e+00,7.965844e-01
4.381264e+00,nan
