# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-01,1.000000e+01,2.059119e+00,7.397169e+01,1.573838e+01,2.285222e+00,5.680667e+00,1.933559e+00,4.686426e+00,2.598768e+00,7.532778e+00,8.650020e+00,3.644477e+00,5.145629e+01,6.549956e+00,2.711986e+00,3.878868e+00,6.762048e-01,6.802683e+01
1.314378e+00,3.000000e+01,1.765541e+00,1.375811e+02,4.575291e+01,2.285222e+00,3.702649e+00,1.748338e+00,4.531497e+00,2.868920e+00,6.700925e+00,9.726957e+00,3.316290e+00,5.985058e+01,3.569408e+00,2.457317e+00,1.297819e+00,2.292983e-01,7.688141e+01
2.190630e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.066882e+00,7.000000e+01,1.630902e+00,2.307768e+02,1.051921e+02,2.285222e+00,3.104353e+00,1.735937e+00,4.616646e+00,3.055664e+00,4.161966e+00,9.993831e+00,3.301118e+00,6.474144e+01,2.280501e+00,2.385611e+00,5.269360e-01,9.599150e-02,8.200848e+01
3.943134e+00,9.000000e+01,1.589740e+00,2.612402e+02,1.346319e+02,2.285222e+00,3.030169e+00,1.754085e+00,4.686776e+00,3.126216e+00,2.764600e+00,9.991627e+00,3.337186e+00,6.640918e+01,2.029347e+00,2.393595e+00,4.026558e-01,7.456297e-02,8.374927e+01
