# system_capacity,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
4.381260e-01,1.000000e+01,1.469657e+00,7.491537e+01,9.021041e+00,2.262367e+00,8.530588e+00,2.670381e+00,6.566089e+00,3.641098e+00,1.055408e+01,1.211943e+01,5.106229e+00,3.145327e+01,9.177059e+00,3.799731e+00,5.434628e+00,9.474212e-01,5.463133e+01
1.314378e+00,3.000000e+01,1.161868e+00,1.448336e+02,2.467972e+01,2.273639e+00,7.478309e+00,2.889474e+00,6.885924e+00,4.359523e+00,1.018252e+01,1.478079e+01,5.039334e+00,3.690553e+01,5.423966e+00,3.734068e+00,1.972125e+00,3.484346e-01,6.301782e+01
2.190630e+00,5.000000e+01,1.090992e+00,1.959592e+02,4.010157e+01,2.274850e+00,7.236979e+00,2.968822e+00,7.133365e+00,4.622365e+00,8.418207e+00,1.537915e+01,5.158478e+00,3.911544e+01,4.534945e+00,3.774019e+00,1.407279e+00,2.509499e-01,6.611075e+01
3.066882e+00,7.000000e+01,1.020117e+00,2.470847e+02,5.552341e+01,2.276062e+00,6.995650e+00,3.048170e+00,7.380806e+00,4.885206e+00,6.653892e+00,1.597752e+01,5.277622e+00,4.132534e+01,3.645925e+00,3.813971e+00,8.424323e-01,1.534652e-01,6.920367e+01
3.943134e+00,9.000000e+01,9.776351e-01,2.817404e+02,7.068544e+01,2.276370e+00,7.000820e+00,3.131603e+00,7.621171e+00,5.083543e+00,4.495530e+00,1.624744e+01,5.426775e+00,4.302456e+01,3.300020e+00,3.892534e+00,6.547605e-01,1.212472e-01,7.150092e+01
